# Deltas this encoder produces, one per line: name, then the delta in hex.
# Regenerate with: go test -run TestGolden -update
both-empty 300a303a303b
empty-origin 4b300a4b303a7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d33787a4d51303b
empty-target 300a303b
origin-below-window 4b300a4b303a7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d33787a4d51303b
origin-at-window 4b300a4b303a7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d33787a4d51303b
origin-one-over-window 4b300a4b303a7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d7368617265642d626f64792d7061796c6f61642d33787a4d51303b
identical 4b300a4b3040302c33787a4d51303b
prefix-change 4b310a313a794a3440792c784049542c32327e465f303b
suffix-change 4b310a4b3040302c313a7931717a4d51303b
middle-change 64360a4b3040302c363a6d6964646c654b3040302c797053545f3b
insert-in-middle 4b450a315f4048572c453a696e736572746564206368756e6b49534031472c54535638363b
